Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
2,2,2013-02-20T19:49,-96.6951,23.0297,1757,989.338,5.3619,34.9224,3.6707,27.586217,28.33,1.46,23.54,47.2,,5
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,10.93,23.8997,36.4909,4.5626,24.803652,0.07,1.3,2.25,92.2,9.3053,1
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,49.676,23.9117,36.4909,4.5589,24.802599,0,1.23,2.18,102.1,9.453,1
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,73.516,23.9095,36.4913,4.5495,24.805052,0.06,0.58,5.01,101.2,9.8882,1
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,397.07,11.6257,35.4385,2.4283,27.016191,25.75,1.81,11.98,59.6,159.5431,4
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,597.301,8.5251,35.0429,2.5298,27.242377,30.57,2.07,24.62,53.8,174.6135,4.5
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,795.358,6.499,34.9157,3.0557,27.436012,31.11,2.56,22.93,47.5,165.6247,5
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,991.249,5.3187,34.9235,3.7129,27.592249,26.92,1.96,23.38,65.4,145.5446,5
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,1189.921,4.6572,34.9483,4.2444,27.689617,25.6,1.72,24.91,52.1,127.3853,6
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,2337.762,4.2821,34.9717,4.7465,27.760917,23.25,1.57,24.2,59.2,109.1788,6
2,12,2013-02-21T07:37,-95.97742,24.03218,2360,2338.745,4.2821,34.9717,4.7465,27.760928,21.19,1.89,21.77,48.5,109.1797,6
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,10.929,22.5475,36.4284,4.6855,25.151617,0.05,0.18,2.23,70.8,9.0084,1
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,50.666,22.3045,36.5369,4.6688,25.305852,0.03,0.18,1.86,67.6,10.5513,1
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,74.504,21.7996,36.5258,4.559,25.441586,0.81,0.14,1.75,66.2,17.301,2
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,148.981,16.5894,36.1907,2.7762,26.536587,15.67,0.77,5.76,49.5,117.5791,3
